Regime,Regime_Start,Regime_End,N_Observations,Y_Variable_Group,Y_Variable,X_Category,X_Variable,Correlation,Abs_Correlation,P_Value,Significant_5pct,Significant_1pct
Derivatives_Expansion,2015-01-01,2018-12-31,48,LogReturn,LogReturn_.NSEI,commodity,Gold,0.08785350791813393,0.08785350791813393,0.7374082264575073,False,False
Derivatives_Expansion,2015-01-01,2018-12-31,48,LogReturn,LogReturn_.NSEI,commodity,Silver,0.14980592818966953,0.14980592818966953,0.5660539797410129,False,False
Derivatives_Expansion,2015-01-01,2018-12-31,48,LogReturn,LogReturn_.NSEI,commodity,Crude,-0.10534381226845717,0.10534381226845717,0.687402480974427,False,False
Derivatives_Expansion,2015-01-01,2018-12-31,48,LogReturn,LogReturn_.NSEI,commodity,BTC,0.15770860036152617,0.15770860036152617,0.5454961708770738,False,False
Derivatives_Expansion,2015-01-01,2018-12-31,48,LogReturn,LogReturn_.NIFMDCP100,commodity,Gold,0.06308037705538067,0.06308037705538067,0.8099310088808198,False,False
Derivatives_Expansion,2015-01-01,2018-12-31,48,LogReturn,LogReturn_.NIFMDCP100,commodity,Silver,0.08006994389303834,0.08006994389303834,0.7599998395968206,False,False
Derivatives_Expansion,2015-01-01,2018-12-31,48,LogReturn,LogReturn_.NIFMDCP100,commodity,Crude,-0.3199984299865314,0.3199984299865314,0.21052048188244665,False,False
Derivatives_Expansion,2015-01-01,2018-12-31,48,LogReturn,LogReturn_.NIFMDCP100,commodity,BTC,0.14671452050069242,0.14671452050069242,0.5741853635614445,False,False
Derivatives_Expansion,2015-01-01,2018-12-31,48,LogReturn,LogReturn_.NIFSMCP100,commodity,Gold,0.16303710274444774,0.16303710274444774,0.531825202136714,False,False
Derivatives_Expansion,2015-01-01,2018-12-31,48,LogReturn,LogReturn_.NIFSMCP100,commodity,Silver,0.15899651735808543,0.15899651735808543,0.5421775955947945,False,False
Derivatives_Expansion,2015-01-01,2018-12-31,48,LogReturn,LogReturn_.NIFSMCP100,commodity,Crude,-0.46641605247185886,0.46641605247185886,0.0591267388690091,False,False
Derivatives_Expansion,2015-01-01,2018-12-31,48,LogReturn,LogReturn_.NIFSMCP100,commodity,BTC,0.07835360074719593,0.07835360074719593,0.7650069603364889,False,False
Recent,2023-01-01,2025-12-31,35,LogReturn,LogReturn_.NSEI,commodity,Gold,-0.022582463991413983,0.022582463991413983,0.8975444501293581,False,False
Recent,2023-01-01,2025-12-31,35,LogReturn,LogReturn_.NSEI,commodity,Silver,-0.00868638031420752,0.00868638031420752,0.9605018293972263,False,False
Recent,2023-01-01,2025-12-31,35,LogReturn,LogReturn_.NSEI,commodity,Crude,-0.018278034179149857,0.018278034179149857,0.9169981618085774,False,False
Recent,2023-01-01,2025-12-31,35,LogReturn,LogReturn_.NSEI,commodity,BTC,-0.09370408225213225,0.09370408225213225,0.5923674998318007,False,False
