date,ticker,open,high,low,close
2015-10-15,INDIA VIX,17.72,17.72,14.85,17.17
2015-10-16,INDIA VIX,17.17,17.18,14.03,16.28
2015-10-19,INDIA VIX,16.28,17.07,15.3,16.88
2015-10-20,INDIA VIX,16.88,17.18,14.53,17.0
2015-10-21,INDIA VIX,17.0,17.42,15.12,16.62
2015-10-23,INDIA VIX,16.62,16.62,14.65,16.19
2015-10-26,INDIA VIX,16.19,17.82,15.01,17.23
2015-10-27,INDIA VIX,17.23,17.3,16.0,16.54
2015-10-28,INDIA VIX,16.54,17.48,15.59,17.04
2015-10-29,INDIA VIX,17.04,17.95,14.72,17.58
2015-10-30,INDIA VIX,17.58,18.32,16.88,17.88
2015-11-02,INDIA VIX,17.88,20.13,17.37,19.47
2015-11-03,INDIA VIX,19.48,19.96,18.07,19.56
2015-11-04,INDIA VIX,19.56,19.63,17.95,19.36
2015-11-05,INDIA VIX,19.35,19.73,18.34,19.29
2015-11-06,INDIA VIX,19.29,19.58,16.61,19.47
2015-11-09,INDIA VIX,19.47,19.47,15.99,17.04
2015-11-10,INDIA VIX,17.04,17.06,15.29,16.82
2015-11-11,INDIA VIX,16.82,16.94,14.53,16.9
2015-11-13,INDIA VIX,16.9,17.72,15.79,17.65
2015-11-16,INDIA VIX,17.65,18.61,15.42,17.95
2015-11-17,INDIA VIX,17.87,17.87,15.62,16.97
2015-11-18,INDIA VIX,16.97,17.75,14.9,17.41
2015-11-19,INDIA VIX,17.41,17.41,14.42,15.84
2015-11-20,INDIA VIX,15.84,16.13,13.83,15.89
2015-11-23,INDIA VIX,15.89,17.55,15.77,17.07
2015-11-24,INDIA VIX,17.07,17.08,15.65,16.25
2015-11-26,INDIA VIX,16.24,16.79,15.08,16.69
2015-11-27,INDIA VIX,16.68,16.98,16.17,16.73
2015-11-30,INDIA VIX,16.73,17.23,16.05,16.43
2015-12-01,INDIA VIX,16.43,16.43,15.53,15.64
2015-12-02,INDIA VIX,15.63,15.98,14.72,15.49
