"date","ticker","name","exchange","open","high","low","close","volume","last_updated"
2012-11-02,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3438.7,3466.6,3438.7,3443.5,0,2025-10-15 10:53:52.910
2012-11-02,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,7834.0,7902.85,7834.0,7876.1,0,2025-10-15 10:50:53.899
2012-11-05,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,7875.35,7887.95,7827.5,7839.8,0,2025-10-15 10:50:53.899
2012-11-05,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3449.2,3457.5,3432.8,3437.7,0,2025-10-15 10:53:52.910
2012-11-05,NIFTY 50,NIFTY 50,NSE,5693.05,5709.2,5679.5,5704.2,0,2025-10-15 10:50:43.804
2012-11-06,NIFTY 50,NIFTY 50,NSE,5694.1,5730.8,5693.65,5724.4,0,2025-10-15 10:50:43.804
2012-11-06,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,7838.5,7875.7,7829.85,7869.1,0,2025-10-15 10:50:53.899
2012-11-06,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3433.0,3471.25,3431.85,3467.2,0,2025-10-15 10:53:52.910
2012-11-07,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,7870.85,7971.15,7870.85,7947.1,0,2025-10-15 10:50:53.899
2012-11-07,NIFTY 50,NIFTY 50,NSE,5718.6,5777.3,5711.4,5760.1,0,2025-10-15 10:50:43.804
2012-11-07,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3478.25,3509.4,3474.15,3499.1,0,2025-10-15 10:53:52.910
2012-11-08,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3482.9,3506.3,3465.25,3497.5,0,2025-10-15 10:53:52.910
2012-11-08,NIFTY 50,NIFTY 50,NSE,5709.0,5744.5,5693.95,5738.75,0,2025-10-15 10:50:43.804
2012-11-08,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,7945.5,7969.85,7875.7,7966.7,0,2025-10-15 10:50:53.899
2012-11-09,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,3499.45,3523.25,3459.25,3461.9,0,2025-10-15 10:53:52.910
